A '''spelling alphabet''', '''radio alphabet''', or '''telephone alphabet''' is a set of words which are used to stand for the letters of an alphabet.  Each word in the spelling alphabet typically replaces the name of the letter with which it starts (acrophony).  It is used to spell out words when speaking to someone not able to see the speaker, meaning there are no visual cues which assist the listener (the McGurk effect).  Giving one's name over the telephone is a common scenario where a spelling alphabet is often used.  Spelling alphabets are often called '''phonetic alphabets'''.  However, phonetic transcription systems such as the International Phonetic Alphabet are designed to record detailed information about the sounds of human speech. As written representations of spoken sounds, they are utterly different from spelling alphabets, which are spoken representations of written symbols.

==Voice procedure==

Spelling alphabets are especially useful when speaking in a noisy environment when clarity and promptness of communication is essential, for example during static cuts off the start of an English-language utterance of the letter ''J'', it may be mistaken for ''A'' or ''K''.  In the international radiotelephony spelling alphabet (or digit by digit; some spelling alphabets replace confusable digit names with more distinct alternatives: for example, the NATO alphabet has "niner" for 9 to distinguish it better from 5 and the German word "nein".

==History==

On the Western Front of the First World War British Army signallers developed "signalese", a way of spelling out over the landlines in use to communicate. This gave rise to phrases such as "Ack-Ack" from AA for anti-aircraft. Pip-emma for pm.

==Examples==
The following examples are from various languages and time periods:<ref>[http://www.comm-spec.com/phonetic-alphabet.php The Phonetic Alphabet] </ref>
{| class="wikitable"
|-
!Letter
!NATO & Aviation
!British Forces 1952
!RAF 1942-43
!NY Police
!French
!German
!Italian
!Spanish
|-
!A
|Alpha
|Abel
|Apple
|Adam
|Anatole
|Anton
|Ancona
|Antonio
|-
!Ä
| -
| -
| -
| -
| -
|Ärger
| -
| -
|-
!B
|Bravo
|Baker
|Beer
|Boy
|Berthe
|Berta
|Bologna
|Barcelona
|-
!C
|Charlie
|Charlie
|Charlie
|Charlie
|Célestin
|Cäsar
|Como
|Carmen
|-
!Ch
| -
| -
| -
| -
| -
|Charlotte
| -
|Chocolate
|-
!D
|Delta
|Dog
|Dog
|David
|Désiré
|Dora
|Domodossola
|Dolores
|-
!E
|Echo
|Easy
|Edward
|Edward
|Eugène
|Emil
|Empoli
|Enrique
|-
!F
|Foxtrot
|Fox
|Freddy
|Frank
|François
|Friedrich
|Firenze
|
|-
!G
|Golf
|George
|George
|George
|Gaston
|Gustav
|Genova
|Gerona
|-
!H
|Hotel
|How
|Harry
|Harry
|Henri
|Heinrich
|Hotel
|Historia
|-
!I
|India
|Item
|In
|Ida
|Irma
|Ida
|Imola
|Inés
|-
!J
|Juliett
|Jig
|Jug / Johnny
|John
|Joseph
|Julius
|I lunga<ref name="letter-name">This is simply the ordinary name of the letter.</ref>
|José
|-
!K
|Kilo
|King
|King
|King
|Kléber
|Kaufmann
|Kilo
|Kilo
|-
!L
|Lima
|Love
|Love
|Larry
|Louis
|Ludwig
|Livorno
|Lorenzo
|-
!Ll
| -
| -
| -
| -
| -
| -
| -
|Llobregat
|-
!M
|Mike
|Mike
|Mother
|Mary
|Marcel
|Martha
|Milano
|Madrid
|-
!N
|November
|Nan
|Nuts
|Nora
|Nicolas
|Nordpol
|Napoli
|Navarra
|-
!Ñ
| -
| -
| -
| -
| -
| -
| -
|Ñoño
|-
!O
|Oscar
|Oboe
|Orange
|Ocean
|Oscar
|Otto
|Otranto
|Oviedo
|-
!Ö
| -
| -
| -
| -
| -
|Ökonom
| -
| -
|-
!P
|Papa
|Peter
|Peter
|Peter
|Pierre
|Paula
|Padova
|París
|-
!Q
|Quebec
|Queen
|Queen
|Queen
|Quintal
|Quelle
|Quarto
|Querido
|-
!R
|Romeo
|Roger
|Roger / Robert
|Robert
|Raoul
|Richard
|Roma
|Ramón
|-
!S
|Sierra
|Sugar
|Suga
|Sam
|Suzanne
|Samuel
|Savona
|Sábado
|-
!Sch
| -
| -
| -
| -
| -
|Schule
| -
| -
|-
!ß
| -
| -
| -
| -
| -
|Eszett<ref name="letter-name"/>
| -
| -
|-
!T
|Tango
|Tare
|Tommy
|Tom
|Thérèse
|Theodor
|Torino
|Tarragona
|-
!U
|Uniform
|Uncle
|Uncle
|Union
|Ursule
|Ulrich
|Udine
|Ulises
|-
!Ü
| -
| -
| -
| -
| -
|Übermut
| -
| -
|-
!V
|Victor
|Victor
|Vic
|Victor
|Victor
|Viktor
|Venezia
|Valencia
|-
!W
|Whiskey
|William
|William
|William
|William
|Wilhelm
|Washington
|Washington
|-
!X
|X-ray
|X-ray
|X-ray
|X-ray
|Xavier
|Xanthippe
|Ics<ref name="letter-name"/>
|Xiquena
|-
!Y
|Yankee
|Yoke
|Yoke / Yorker
|Young
|Yvonne
|Ypsilon<ref name="letter-name"/>
|York
|Yeguna
|-
!Z
|Zulu
|Zebra
|Zebra
|Zebra
|Zoé
|Zeppelin
|Zara
|Zaragoza
|}

Eine '''Buchstabiertafel''' (oder ''Buchstabieralphabet'', ''Telefonalphabet'', ''Funkalphabet'', ''Fliegeralphabet'') erleichtert die Übermittlung schwer verständlicher oder seltener Wörter (Fremdwörter, Fachausdrücke und Eigennamen) im Telefon- und Sprechfunk-Verkehr, sowie bei Diktaten. Anders als beim normalen Buchstabieren, bei dem Buchstaben eines Wortes einzeln –&nbsp;gemäß ihrer Phonetisierung im Alphabet der entsprechenden Sprache&nbsp;– gesprochen werden, wird bei Verwendung einer Buchstabiertafel jeder einzelne Buchstabe als Wort mit dem entsprechenden Anfangsbuchstaben gesprochen. Dabei legt die Buchstabiertafel für jeden Buchstaben das zu verwendende Wort fest. Das Wort ''Wikipedia'' wird mit einer Buchstabiertafel zum Beispiel folgendermaßen buchstabiert: '''''W'''hiskey '''I'''ndia '''K'''ilo '''I'''ndia '''P'''apa '''E'''cho '''D'''elta '''I'''ndia '''A'''lfa''.

Bei der Auswahl von Wörtern für ein Buchstabieralphabet wird darauf geachtet, dass jedes Wort zu jedem anderen möglichst verschieden ist, um Missverständnisse auch bei schlechter oder unvollständiger Übertragung (Funk) auszuschließen. So werden einsilbige Wörter vermieden und Wörter mit unterschiedlicher Betonung und unterschiedlichem Klang gewählt. Bei internationalen Tabellen muss zudem sichergestellt werden, dass die benutzten Wörter von Sprechern jeder Muttersprache ohne besonderes Training sowohl ausgesprochen werden können als auch beim Hören erkannt werden.

== Deutsche Buchstabiertafeln ==

Die Geschichte der ersten deutschen Buchstabiertafel, auch '''deutsches Telefonalphabet''' genannt, beginnt mit dem Berliner Telefonbuch von 1890. Damals wurden den Buchstaben einfach Zahlen zugeordnet. ''Maier'' hat man also ''Dreizehn, Eins, Neun, Fünf, Achtzehn'' buchstabiert. Seit 1903 gibt es dann Namen für Buchstaben – ein Konzept, das sowohl mnemotechnisch überlegen ist als auch dem eigentlichen Zweck besser entspricht: präzise Textinformationen störungstolerant weiterzugeben. ''Maier'' wird ab 1903 ''Marie, Albert, Isidor, Emil, Richard'' buchstabiert. Von kleinen Korrekturen und Ergänzungen abgesehen tut sich in den nächsten zwanzig Jahren nicht viel, auch wenn das Militär versucht, sein eigenes, abweichendes Telefonalphabet als allgemeinen Standard durchzusetzen. Das ändert sich 1933 mit einer Postkarte von Joh. Schliemann.

thumb|300px|Postkarte von Joh. Schliemann
Diese Karte wird einen Monat später mit dem Begleitschreiben ''„Anliegend wird ein Schreiben des hiesigen Teilnehmers Joh. Schliemann – 2155/56 – wegen Ausmerzen der in der Buchstabiertafel auf Seite 5 des Fernsprechbuches enthaltenen jüdischen Namen vorgelegt.“'' an die Oberpostdirektion (OPD) Schwerin weitergeleitet.

Einen Tag später gehen die beiden Schreiben an die Oberpostdirektion Berlin – ergänzt um diese Notiz:

Die Angelegenheit landet schließlich am 31. März 1933 auf dem Schreibtisch des Beamten Neugebauer, der einer „Bereinigung“ aufgeschlossener gegenübersteht. Er veranlasst den Test ''nichtjüdischer'' Namen und am 22. April werden die Änderungsvorschläge ''Dora, Julius, Nikolaus, Siegfried und Zeppelin'' veröffentlicht.

Die befürchteten Reaktionen bleiben nicht aus. Hier die Antwort des OPD auf eine Beschwerde des Reichstagsabgeordneten Jakob Sprenger:

Die im Telefonbuch von 1934 dokumentierten Änderungen sind schließlich diese:
{| class="prettytable" 
|-  class="hintergrundfarbe6"
! vorher    !! nachher
|-
| Albert    || Anton
|-
| Änderung  || Ärger
|-
| Bernhard  || Bruno
|-
| David     || Dora
|-
| Friedrich || Fritz
|-
| Heinrich  || Heinz
|-
| Jakob     || J|Jod
|-
| Katharina || Kurfürst
|-
| Nathan    || Nordpol
|-
| Ökonom    || Öse
|-
| Samuel    || Siegfried
|-
| Theodor   || Toni
|-
| Überfluß<!--sic!--> || Übel
|-
| Ypsilon   || Ypern
|-
| Zacharias || Zeppelin
|}

