Kini ang 463 ka '''mga komyun sa departamento sa Ardennes''' sa Pransiya.

*INSEE - Kodigo postal - Komyun
* 08001 - 08300 - Acy-Romance
* 08003 - 08090 - Aiglemont
* 08004 - 08190 - Aire
* 08005 - 08310 - Alincourt
* 08006 - 08130 - Alland'Huy-et-Sausseuil
* 08007 - 08400 - Les Alleux
* 08008 - 08300 - Amagne
* 08009 - 08210 - Amblimont
* 08010 - 08130 - Ambly-Fleury
* 08011 - 08500 - Anchamps
* 08013 - 08450 - Angecourt
* 08014 - 08310 - Annelles
* 08015 - 08260 - Antheny
* 08016 - 08290 - Aouste
* 08017 - 08250 - Apremont
* 08018 - 08400 - Ardeuil-et-Montfauxelles
* 08021 - 08300 - Arnicourt
* 08022 - 08090 - Arreux
* 08023 - 08390 - Artaise-le-Vivier
* 08024 - 08190 - Asfeld
* 08025 - 08130 - Attigny
* 08026 - 08150 - Aubigny-les-Pothées
* 08027 - 08270 - Auboncourt-Vauzelles
* 08028 - 08320 - Aubrives
* 08029 - 08370 - Auflance
* 08030 - 08380 - Auge
* 08031 - 08400 - Aure
* 08032 - 08310 - Aussonce
* 08033 - 08240 - Authe
* 08034 - 08210 - Autrecourt-et-Pourron
* 08035 - 08240 - Autruche
* 08036 - 08250 - Autry
* 08037 - 08260 - Auvillers-les-Forges
* 08038 - 08300 - Avançon
* 08039 - 08190 - Avaux
* 08040 - 08000 - Les Ayvelles
* 08041 - 08430 - Baâlons
* 08042 - 08160 - Balaives-et-Butz
* 08043 - 08200 - Balan
* 08044 - 08190 - Balham
* 08045 - 08400 - Ballay
* 08046 - 08220 - Banogne-Recouvrance
* 08047 - 08430 - Barbaise
* 08048 - 08300 - Barby
* 08049 - 08240 - Bar-lès-Buzancy
* 08052 - 08240 - Bayonville
* 08053 - 08140 - Bazeilles
* 08055 - 08210 - Beaumont-en-Argonne
* 08056 - 08250 - Beffu-et-le-Morthomme
* 08057 - 08240 - Belleville-et-Châtillon-sur-Bar
* 08058 - 08090 - Belval
* 08059 - 08240 - Belval-Bois-des-Dames
* 08060 - 08300 - Bergnicourt
* 08061 - 08240 - La Berlière
* 08062 - 08300 - Bertoncourt
* 08063 - 08450 - La Besace
* 08064 - 08300 - Biermes
* 08065 - 08370 - Bièvres
* 08066 - 08310 - Bignicourt
* 08067 - 08110 - Blagny
* 08069 - 08290 - Blanchefosse-et-Bay
* 08070 - 08190 - Blanzy-la-Salonnaise
* 08071 - 08260 - Blombay
* 08081 - 08120 - Bogny-sur-Meuse
* 08072 - 08350 - Bosseval-et-Briancourt
* 08073 - 08290 - Bossus-lès-Rumigny
* 08074 - 08250 - Bouconville
* 08075 - 08240 - Boult-aux-Bois
* 08076 - 08410 - Boulzicourt
* 08077 - 08400 - Bourcq
* 08078 - 08230 - Bourg-Fidèle
