Современное население Японии составляет 127,433,404 человека (2007 г.). Крупнейшие города: Токио (11,9 млн. жителей), Иокогама (3,27 млн.), Осака (2,48 млн.), Кобе (1,46 млн.), Нагоя (2,1 млн.), Киото (1,9 млн.), Саппоро, Хиросима, Фукуока, Кавасаки (1,1 млн.).

История населения Японии.
{| border="2" cellpadding="4" cellspacing="0" style="margin: 1em 1em 1em 0; background: #ffffee; border: 1px #aaa solid; border-collapse: collapse; font-size: 95 %;"
|-----
! Год
! Население
|-----
| 25000 до н.э.
| 10 000
|-----
| 15000 до н.э.
| 30 000
|-----
| 10000 до н.э.
| 20 000
|-----
| 6100 до н.э.
| 20 000
|-----
| 3200 до н.э.
| 110 000
|-----
| 2300 до н.э.
| 260 000
|-----
| 1300 до н.э.
| 160 000
|-----
| 900 до н.э.
| 80 000
|-----
| 100
| 600 000
|-----
| 250
| 3 000 000
|-----
| 600
| 4 970 000
|-----
| 900
| 6 440 000
|-----
| 1150
| 6 920 000
|-----
| 1330
| 9 750 000
|-----
| 1500
| 11 260 000
|-----
| 1600
| 12 000 000
|-----
| 1650
| 17 180 000
|-----
| 1700
| 27 000 000
|-----
| 1710
| 27 415 000
|-----
| 1720
| 27 723 000
|-----
| 1730
| 28 034 000
|-----
| 1740
| 28 349 000
|-----
| 1750
| 28 668 000
|-----
| 1760
| 28 990 000
|-----
| 1770
| 29 316 000
|-----
| 1780
| 29 645 000
|-----
| 1790
| 29 978 000
|-----
| 1800
| 30 315 000
|-----
| 1810
| 30 656 000
|-----
| 1820
| 31 000 000
|-----
| 1830
| 31 293 000
|-----
| 1840
| 31 644 000
|-----
| 1850
| 32 000 000
|-----
| 1860
| 33 174 000
|-----
| 1870
| 34 347 000
|-----
| 1880
| 36 807 000
|-----
| 1890
| 40 077 000
|-----
| 1900
| 44 774 000
|-----
| 1910
| 50 368 000
|-----
| 1920
| 55 962 000
|-----
| 1930
| 64 451 000
|----
| 1940
| 73 144 000
|-----
| 1950
| 83 625 000
|-----
| 1960
| 94 096 000
|-----
| 1970
| 104 331 000
|-----
| 1980
| 116 807 000
|-----
| 1990
| 123 537 000
|-----
| 2000
| 127 034 000
|-----
| 2007
| 127 417 000
|-----
| 2030
| 122 566 000
|-----
| 2050
| 100 593 000
|-----
| 2090
| 61 590 000 
|}

== Ссылки ==

* [http://www.mnp.nl/hyde/bdf/population/ mnp.nl]

Япония принадлежит к числу мононациональных стран — около 99% ее населения составляют корейцев, а также айну.
<!-- малочисленный народ предположительно сибирского происхождения (хотя есть гипотезы о принадлежности его к индо-европейской расе, построенные на прослеживании параллелей со скифо-сарматской культурой). Oстатки айну, несколько тысяч человек, в основном проживают сейчас на самом северном острове Японии — Хоккайдо. До проникновения на островах прото-японских племен айну были основным островным населением. -->

thumb|255px|right|Birth and death rates of Japan since 1950
As of June 2008, tenth most populated country.  Its size can be attributed to fast growth rates experienced during the late 19th and early 20th centuries.

However more recently Japan has been experiencing net population loss, due to falling life expectancies in the world, at 81.25 years of age as of 2006.<ref>[https://www.cia.gov/library/publications/the-world-factbook/rankorder/2102rank.html CIA - The World Factbook - Rank Order - Life expectancy at birth<!-- Bot generated title -->]</ref> The share of 65-85 years old residents is expected to rise from 6% to 15% by 2025.

==Urban distribution==
Japan is an urban society with only about 5% of the part-time jobs in nearby towns and cities. About 80 million of the urban population is heavily concentrated on the Pacific shore of Honshū. Metropolitan Tokyo-Yokohama, with 35,000,000 people, is the world's most populous city. Japan faces the same problems that confront urban industrialized societies throughout the world: over-crowded cities, congested highways, though often at much lower rates than in Africa, North America, and elsewhere.

==Languages==
