'''FIFA 100'''-listen blev offentliggjort den 4. marts 2004 i London i anledning af FIFA's 100-års jubilæum.

Den er lavet af den brasilianske superstjerne Michael og Brian Laudrup samt målmanden Peter Schmeichel. 

== Europa ==
*Roberto Baggio, Italien
*Michael Ballack, Tyskland
*Gordon Banks, England
*Franco Baresi, Italien
*Marco van Basten, Holland
*David Beckham, England
*Dennis Bergkamp, Holland
*Giuseppe Beroni, Italien
*George Best, Nordirland
*Franz Beckenbauer, Tyskland
*Zbigniew Boniek, Polen
*Giampiero Boniperti, Italien
*Paul Breitner, Tyskland
*Gianluigi Buffon, Italien
*Emilio Butrague&ntilde;o, Spanien
*Eric Cantona, Frankrig
*Jan Ceulemans, Belgien
*Bobby Charlton, England
*Johan Cruyff, Holland
*Kenny Dalglish, Skotland
*Rinat Dasajev, Rusland
*Edgar Davids, Holland
*Marcel Desailly, Frankrig
*Didier Deschamps, Frankrig
*Franky van der Elst, Belgien
*Luis Enrique, Spanien
*Gino Facchetti, Italien
*Just Fontaine, Frankrig
*Ruud Gullit, Holland
*Gheorghe Hagi, Rumænien
*Thierry Henry, Frankrig
*Oliver Kahn, Tyskland
*Irland
*Kevin Keegan, England
*Rene van de Kerkhof, Holland
*Willy van de Kerkhof, Holland
*J&uuml;rgen Klinsmann, Tyskland
*Patrick Kluivert, Holland
*Raymond Kopa, Frankrig
*'''Brian Laudrup''', Danmark
*'''Michael Laudrup''', Danmark
*Gary Lineker, England
*Sepp Maier, Tyskland
*Paolo Maldini, Italien
*Josef Masopust, Tjekkiet 
*Lothar Matthäus, Tyskland
*Gerd Müller, Tyskland
*Pavel Nedvěd, Tjekkiet
*Johan Neeskens, Holland
*Alessandro Nesta, Italien
*Ruud van Nistelrooy, Holland
*Michael Owen, England
*Jean-Pierre Papin, Frankrig
*Jean-Marie Pfaff, Belgien
*Alessandro Del Piero, Italien
*Robert Pires, Frankrig
*Michel Platini, Frankrig
*Ferenc Puskas, Ungarn
*Raul, Spanien
*Rob Rensenbrink, Holland
*Frank Rijkaard, Holland
*Gianni Rivera, Italien
*Paolo Rossi, Italien
*Karl-Heinz Rummenigge, Tyskland
*Alan Shearer, England
*'''Peter Schmeichel''', Danmark
*Clarence Seedorf, Holland
*Uwe Seeler, Tyskland
*Andrij Sjevtjenko, Ukraine
*Hristo Stoichkov, Bulgarien
*Davor Suker, Kroatien
*Lilian Thuram, Frankrig
*Francesco Totti, Italien
*Marius Tresor, Frankrig
*David Trezeguet, Frankrig
*Patrick Vieira, Frankrig
*Christian Vieri, Italien
*Zinedine Zidane, Frankrig
*Dino Zoff, Italien
*Rüştü Reçber, Tyrkiet

== Afrika ==
*El Hadji Diouf, Senegal
*Roger Milla, Cameroun
*Jay-Jay Okocha, Nigeria
*Abedi Pele, Ghana
*George Weah, Liberia

== Asien ==
*Emre Belozoglu, Tyrkiet
*Hidetoshi Nakata, Japan
*Hong Myung-Bo, Sydkorea

== Nord- og Sydamerika ==
*Michelle Akers, USA
*Carlos Alberto, Brasilien
*Gabriel Batistuta, Argentina
*Cafu, Brasilien
*Roberto Carlos, Brasilien
*Hernan Crespo, Argentina
*Teofilo Cubillas, Peru
*Falcão, Brasilien
*Elias Figueroa, Chile
*Enzo Francescoli, Uruguay
*Mia Hamm, USA
*Júnior, Brasilien
*Mario Kempes, Argentina
*Diego Maradona, Argentina
*Daniel Passarella, Argentina
*Pelé, Brasilien
*Rivaldo, Brasilien
*Romário, Brasilien
*Ronaldinho, Brasilien
*Ronaldo, Brasilien
*Romerito, Paraguay
*Hugo Sanchez, Mexico
*Djalma, Brasilien
*Nilton Santos, Brasilien
*Javier Saviola, Argentina
*Omar Sivori, Argentina
*Sócrates, Brasilien
*Alfredo di Stefano, Argentina
*Carlos Valderrama, Colombia
*Juan Sebastian Veron, Argentina
*Ivan Zamorano, Chile
*Javier Zanetti, Argentina
*Zico, Brasilien

thumb|Pelé
De '''FIFA 100''' is de lijst van de 125 beste, nog levende voetbalspelers volgens de FIFA. De lijst heeft zijn naam te danken aan het honderdjarig bestaan van de voetbalorganisatie. Aan voormalig voetballer Pelé was gevraagd de honderd besten te selecteren uit een gegeven lijst van 300 spelers, 50 op dat moment nog actieve spelers en 50 oud-spelers. De Braziliaanse wereldkampioen vond het echter te lastig slechts 50 oud-spelers te kiezen, waardoor hij uiteindelijk op 125 spelers uitkwam, waarvan 75 met voetbalpensioen. Er staan twee vrouwelijke voetballers op de lijst, beiden afkomstig uit de Verenigde Staten. De lijst werd gepresenteerd door Pelé op 3 maart 2004 in Londen.

== Kritiek ==

Het uitbrengen van de lijst ging gepaard met de nodige kritiek. Met name het selectiecriterium 'nog levend' riep vraagtekens op. Ook werd getwijfeld aan de motieven van Pelé en de FIFA. Men zou teveel 'politieke' afwegingen hebben gemaakt, waardoor een aantal spelers gepasseerd zouden zijn voor mindere voetballers ten behoeve van de geografische diversiteit. Een lijst meer op de Zuid-Amerikaanse en Europese landen gericht zou volgens deze critici accurater zijn.

Ook was er kritiek van enkele spelers. Braziliaans oud-international Gérson, die samen met Pelé wereldkampioen werd, reageerde op zijn afwezigheid door de lijst op televisie te verscheuren. Marco van Basten en Uwe Seeler weigerden hun medewerking aan het project, waardoor hun foto's ontbreken in de boekversie van de lijst. Diego Maradona, Daniel Passarella, Gerd Muller, Ferenc Puskas en Rivelino waren om verscheidene redenen niet beschikbaar, waardoor er in totaal 7 spelers ontbreken in de speciale uitgave.

==FIFA 100 lijst==

Dit is de lijst met de door Pelé gekozen voetballers. Spelers die op moment van publicatie nog actief waren zijn schuin gedrukt.

======
*''Gabriel Batistuta''
*''Hernán Jorge Crespo''
*Mario Kempes
*Diego Maradona
*Daniel Passarella
*''Javier Saviola''
*Omar Sivori
*Alfredo Di Stéfano
*''Juan Sebastián Verón''
*''Javier Zanetti''

======
*Jan Ceulemans
*Franky van der Elst
*Jean-Marie Pfaff

======
*Carlos Alberto Torres
*''Cafú''
*''Roberto Carlos''
*Falcão
*Júnior
*Pelé
*''Rivaldo''
*Rivelino
*''Romário''
*''Ronaldinho''
*''Ronaldo''
*Djalma Santos
*Nilton Santos
*Sócrates
*Zico

======
*Hristo Stoichkov

======
*Elias Figueroa
*Iván Zamorano

======
*Carlos Valderrama

======
*Brian Laudrup
*Michael Laudrup
*Peter Schmeichel

======
*''Michael Ballack''
*Franz Beckenbauer
*Paul Breitner
*''Oliver Kahn''
*Jürgen Klinsmann
*Sepp Maier
*Lothar Matthäus
*Gerd Müller
*Karl-Heinz Rummenigge
*Uwe Seeler

======
*Gordon Banks
*''David Beckham''
*Bobby Charlton
*Kevin Keegan
*Gary Lineker
*''Michael Owen''
*''Alan Shearer''

======
*Eric Cantona
*''Marcel Desailly''
*Didier Deschamps
*Just Fontaine
*''Thierry Henry''
*Raymond Kopa
*Jean-Pierre Papin
*''Robert Pires''
*Michel Platini
*''Lilian Thuram''
*Marius Trésor
*''David Trezeguet''
*''Patrick Vieira''
*''Zinédine Zidane''

======
*Abédi Pelé

======
*Ferenc Puskas (Overleden op 17 november 2006)

======
*''Roy Keane''

======
*''Roberto Baggio''
*Franco Baresi
*Giuseppe Bergomi
*Giampero Boniperti
*''Gianluigi Buffon''
*Giacinto Facchetti
*''Paolo Maldini''
*''Alessandro Nesta''
*''Alessandro Del Piero''
*Gianni Rivera
*Paolo Rossi
*''Francesco Totti''
*''Christian Vieri''
*Dino Zoff

======
*''Hidetoshi Nakata''

======
*Roger Milla

======
*Davor Suker

======
*George Weah
